Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Depart_delay_min,Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
AA,01/01/2019,1,N111ZM,LAX,08:00,07:59,402,394,-1,08:19,20,0,0,0,0,0
AA,01/01/2019,3,N105NN,LAX,12:30,12:23,390,381,-7,12:38,15,0,0,0,0,0
AA,01/01/2019,24,N982NN,LAS,19:55,19:52,368,367,-3,20:22,30,0,0,0,0,0
AA,01/01/2019,33,N103NN,LAX,07:00,06:56,414,438,-4,07:19,23,0,0,20,0,0
AA,01/01/2019,117,N113AN,LAX,15:00,14:56,392,382,-4,15:11,15,0,0,0,0,0
AA,01/01/2019,133,N106NN,LAX,17:00,17:23,403,420,23,17:57,34,23,0,17,0,0
AA,01/01/2019,179,N108NN,SFO,11:00,10:55,407,397,-5,11:15,20,0,0,0,0,0
AA,01/01/2019,243,N396AN,MIA,15:45,15:41,211,199,-4,16:17,36,0,0,0,0,0
AA,01/01/2019,255,N104NN,LAX,10:00,09:56,397,397,-4,10:17,21,0,0,0,0,0
AA,01/01/2019,277,N902NN,ORD,13:00,12:59,172,184,-1,13:22,23,0,0,0,0,0
AA,01/01/2019,341,N102NN,LAX,14:00,13:51,395,398,-9,14:23,32,0,0,0,0,0
AA,01/01/2019,429,N808AW,CLT,12:55,12:50,124,128,-5,13:11,21,0,0,0,0,0
AA,01/01/2019,631,N803AW,CLT,19:25,19:21,132,121,-4,19:40,19,0,0,0,0,0
AA,01/01/2019,952,N941NN,PHX,13:30,13:32,357,388,2,13:51,19,2,0,31,0,0
AA,01/01/2019,969,N982NN,LAS,07:00,06:54,367,353,-6,07:09,15,0,0,0,0,0
AA,01/01/2019,1119,N966AN,DFW,22:42,22:51,253,244,9,23:19,28,0,0,0,0,0
AA,01/01/2019,1140,N102NN,BOS,09:40,09:33,76,73,-7,09:57,24,0,0,0,0,0
AA,01/01/2019,1240,N893NN,MCO,20:40,20:33,190,170,-7,20:53,20,0,0,0,0,0
AA,01/01/2019,1274,N891NN,DFW,12:29,12:32,251,245,3,12:45,13,0,0,0,0,0
AA,01/01/2019,1278,N862NN,BOS,21:30,21:27,76,64,-3,21:45,18,0,0,0,0,0
AA,01/01/2019,1414,N951AA,ORD,17:08,17:50,186,178,42,18:08,18,34,0,0,0,0
AA,01/01/2019,1444,N890NN,CLT,08:15,08:14,139,128,-1,08:33,19,0,0,0,0,0
AA,01/01/2019,1445,N929AN,SEA,18:35,19:29,394,378,54,19:49,20,38,0,0,0,0
AA,01/01/2019,1487,N972NN,PHX,06:30,06:26,364,363,-4,06:39,13,0,0,0,0,0
AA,01/01/2019,1571,N388AA,MIA,10:59,10:55,192,182,-4,11:14,19,0,0,0,0,0
AA,01/01/2019,1587,N934AN,PHX,16:30,16:27,360,389,-3,16:53,26,0,0,26,0,0
AA,01/01/2019,1610,N691AA,MIA,08:00,08:00,200,197,0,08:21,21,0,0,0,0,0
AA,01/01/2019,2218,N952AA,SAN,20:00,20:07,380,394,7,20:29,22,7,0,14,0,0
AA,01/01/2019,2234,N818NN,DFW,06:30,06:27,255,289,-3,06:46,19,0,0,31,0,0
AA,01/01/2019,2268,N177AN,MIA,06:08,06:05,196,182,-3,06:22,17,0,0,0,0,0
AA,01/01/2019,2291,N901AN,CLT,17:00,17:07,127,118,7,17:27,20,0,0,0,0,0
AA,01/01/2019,2305,N116AN,SFO,16:10,16:04,409,403,-6,16:40,36,0,0,0,0,0
AA,01/01/2019,2369,N810NN,PHX,10:20,10:19,357,387,-1,10:46,27,0,0,29,0,0
AA,01/01/2019,2383,N691AA,MIA,17:29,17:29,201,183,0,17:50,21,0,0,0,0,0
AA,01/01/2019,2423,N806NN,DFW,18:13,18:11,262,239,-2,18:30,19,0,0,0,0,0
AA,01/01/2019,2514,N860NN,AUS,08:30,00:00,268,0,0,00:00,0,0,0,0,0,0
AA,01/01/2019,2572,N733AR,MIA,13:30,13:28,198,180,-2,13:48,20,0,0,0,0,0
AA,01/01/2019,2643,N967NN,CLT,06:30,06:29,131,127,-1,06:52,23,0,0,0,0,0
AA,01/01/2019,2652,N115NN,SFO,18:30,18:20,412,403,-10,18:37,17,0,0,0,0,0
AA,01/01/2019,2704,N880NN,MCO,15:50,16:26,192,180,36,16:50,24,5,0,0,0,19
AA,01/01/2019,2756,N874NN,PHX,21:15,21:18,361,346,3,21:39,21,0,0,0,0,0
AA,01/01/2019,2772,N906NN,AUS,19:29,19:26,264,271,-3,19:53,27,0,0,0,0,0
AA,01/01/2019,2773,N893NN,DCA,15:43,15:43,92,98,0,16:22,39,0,0,0,0,0
AA,01/01/2019,2783,N183AN,EGE,10:40,10:36,292,354,-4,10:58,22,0,0,58,0,0
AA,01/01/2019,2819,N937NN,SAN,17:45,17:41,383,389,-4,17:59,18,0,0,0,0,0
AA,01/01/2019,2827,N389AA,DFW,07:50,07:47,260,253,-3,08:03,16,0,0,0,0,0
AA,01/02/2019,1,N101NN,LAX,08:00,07:54,402,376,-6,08:10,16,0,0,0,0,0
AA,01/02/2019,3,N109NN,LAX,12:30,12:27,390,369,-3,12:42,15,0,0,0,0,0
AA,01/02/2019,24,N934AN,LAS,19:55,19:55,368,369,0,20:16,21,0,0,0,0,0
AA,01/02/2019,33,N111ZM,LAX,07:00,06:56,414,411,-4,07:18,22,0,0,0,0,0
AA,01/02/2019,42,N108NN,LAX,09:00,08:59,404,376,-1,09:36,37,0,0,0,0,0
AA,01/02/2019,53,N103NN,LAX,16:00,15:55,407,375,-5,16:24,29,0,0,0,0,0
AA,01/02/2019,117,N117AN,LAX,15:00,15:01,392,376,1,15:20,19,0,0,0,0,0
AA,01/02/2019,133,N102NN,LAX,17:00,17:09,403,359,9,17:26,17,0,0,0,0,0
AA,01/02/2019,179,N107NN,SFO,11:00,10:55,407,391,-5,11:19,24,0,0,0,0,0
AA,01/02/2019,243,N397AN,MIA,15:45,15:42,211,194,-3,16:07,25,0,0,0,0,0
AA,01/02/2019,255,N104NN,LAX,10:00,09:54,397,384,-6,10:26,32,0,0,0,0,0
AA,01/02/2019,277,N959NN,ORD,13:00,13:00,172,166,0,13:16,16,0,0,0,0,0
AA,01/02/2019,302,N116AN,LAX,18:00,17:54,402,366,-6,18:12,18,0,0,0,0,0
AA,01/02/2019,331,N112AN,LAX,11:00,10:49,392,385,-11,11:13,24,0,0,0,0,0
AA,01/02/2019,341,N114NN,LAX,14:00,13:54,395,378,-6,14:10,16,0,0,0,0,0
AA,01/02/2019,429,N826AW,CLT,12:55,12:50,124,108,-5,13:06,16,0,0,0,0,0
AA,01/02/2019,631,N821AW,CLT,19:25,19:18,132,120,-7,19:31,13,0,0,0,0,0
AA,01/02/2019,952,N827NN,PHX,13:30,13:32,357,349,2,13:47,15,0,0,0,0,0
AA,01/02/2019,969,N934AN,LAS,07:00,06:56,367,348,-4,07:12,16,0,0,0,0,0
AA,01/02/2019,1140,N114NN,BOS,09:40,09:34,76,75,-6,10:06,32,0,0,0,0,0
AA,01/02/2019,1240,N979NN,MCO,20:40,20:38,190,167,-2,21:02,24,0,0,0,0,0
AA,01/02/2019,1274,N918NN,DFW,12:29,12:26,251,246,-3,12:41,15,0,0,0,0,0
AA,01/02/2019,1278,N832NN,BOS,21:30,21:26,76,65,-4,21:47,21,0,0,0,0,0
AA,01/02/2019,1414,N944NN,ORD,17:08,17:17,186,177,9,17:37,20,0,0,0,0,0
AA,01/02/2019,1444,N910NN,CLT,08:15,08:13,139,134,-2,08:26,13,0,0,0,0,0
AA,01/02/2019,1445,N964AN,SEA,18:35,18:36,394,392,1,18:58,22,0,0,0,0,0
AA,01/02/2019,1487,N301PA,PHX,06:30,06:25,364,358,-5,06:44,19,0,0,0,0,0
AA,01/02/2019,1500,N944NN,CLT,05:00,05:01,125,122,1,05:19,18,0,0,0,0,0
AA,01/02/2019,1571,N348AN,MIA,10:59,10:57,192,186,-2,11:21,24,0,0,0,0,0
AA,01/02/2019,1587,N981AN,PHX,16:30,16:23,360,340,-7,16:40,17,0,0,0,0,0
AA,01/02/2019,1610,N187AN,MIA,08:00,07:58,200,208,-2,08:20,22,0,0,0,0,0
AA,01/02/2019,2218,N928NN,SAN,20:00,19:56,380,373,-4,20:19,23,0,0,0,0,0
AA,01/02/2019,2234,N980AN,DFW,06:30,07:17,255,295,47,07:59,42,0,0,87,0,0
AA,01/02/2019,2268,N192AN,MIA,06:08,06:08,196,181,0,06:26,18,0,0,0,0,0
AA,01/02/2019,2291,N945NN,CLT,17:00,16:58,127,122,-2,17:10,12,0,0,0,0,0
AA,01/02/2019,2305,N113AN,SFO,16:10,16:02,409,392,-8,16:29,27,0,0,0,0,0
AA,01/02/2019,2369,N886NN,PHX,10:20,10:20,357,345,0,10:39,19,0,0,0,0,0
AA,01/02/2019,2383,N148AN,MIA,17:29,17:22,201,207,-7,17:43,21,0,0,0,0,0
AA,01/02/2019,2423,N937NN,DFW,18:13,18:22,262,262,9,18:40,18,0,0,0,0,0
AA,01/02/2019,2514,N844NN,AUS,08:30,08:26,268,268,-4,08:48,22,0,0,0,0,0
AA,01/02/2019,2572,N728AN,MIA,13:30,13:27,198,161,-3,13:39,12,0,0,0,0,0
AA,01/02/2019,2643,N909NN,CLT,06:30,07:55,131,125,85,08:13,18,79,0,0,0,0
AA,01/02/2019,2652,N105NN,SFO,18:30,18:23,412,403,-7,18:41,18,0,0,0,0,0
AA,01/02/2019,2704,N955NN,MCO,15:50,15:45,192,193,-5,16:13,28,0,0,0,0,0
AA,01/02/2019,2756,N954AN,PHX,21:15,21:16,361,343,1,21:37,21,0,0,0,0,0
AA,01/02/2019,2772,N355PU,AUS,19:29,19:27,264,250,-2,19:49,22,0,0,0,0,0
AA,01/02/2019,2773,N979NN,DCA,15:43,15:42,92,98,-1,16:17,35,0,0,0,0,0
AA,01/02/2019,2783,N183AN,EGE,10:40,10:29,292,383,-11,10:47,18,0,0,80,0,0
AA,01/02/2019,2819,N967AN,SAN,17:45,17:45,383,376,0,18:04,19,0,0,0,0,0
AA,01/02/2019,2827,N349AN,DFW,07:50,08:55,260,269,65,09:12,17,0,0,74,0,0
AA,01/03/2019,1,N101NN,LAX,08:00,08:12,402,372,12,08:23,11,0,0,0,0,0
